"trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","responses","question_order","subGen","subLang","key_press","Gender","Stressed","Angry","Hostile","Happy","Interested","Formal","Confident"
"pavlovia","0","17","0.0-0.0","","","","","","","","","","","","","","","",""
"html-button-response","1","1919","0.0-1.0","1899.7999999523163","<p style=""text-align: left; margin: auto""> Hi, welcome! Thanks for agreeing to participate in this study.<br>This experiment does not work on mobile phones or tablet PCs, so please use a computer. <br>Also, <b>make sure you&apos;re using earphones or headphones.</b><br>For any technical inquiries, send an email to <font color=""#4355FF"">suhrjinsun@yonsei.ac.kr<br><br></p>","0","","","","","","","","","","","","",""
"survey-multi-choice","2","4615","0.0-2.0","2678.5","","","{""Q0"":""Female"",""Q1"":""English""}","[0,1]","Female","English","","","","","","","","",""
"html-button-response","3","5815","0.0-3.0","1196.0999999046326","<p style=""text-align: left; margin: auto"">Before we begin, please adjust your earphone volume. A sample voice will be played when you press Next.<br>Use that sound to set the volume to the level you feel comfortable.<br><br></p>","0","","","","","","","","","","","","",""
"audio-likert-jedit_volumeAdjust","4","6879","0.0-4.0","1063.1000001430511","./stim/z_volumeTest.wav","","","","","","","","","","","","","",""
"html-button-response","5","7929","0.0-5.0","1047.0999999046326","<p style=""text-align: left; margin-left: 50px; margin-right: 50px"">In this HIT, your task is to <u>listen to 33 short audio clips and rate each of their characteristics.</u><br>For each trial, a four-second voice clip will be played and you will be asked to answer 7 questions regarding the voice. <br>You must answer all of them before continuing to the next voice clip. There will be a one-minute break when you are half-way. There may be a couple of surprise questions between trials, so be aware! <br>After all trials are finished, we&apos;ll ask you a couple of demographic questions and comments on the experiment.<br>There&apos;s no right or wrong answer so just go with your instincts.<br>You&apos;re now all set to begin. Good luck!</p>","0","","","","","","","","","","","","",""
"html-keyboard-response","6","12939","0.0-6.0-0.0","null","<audio autoplay><source src=""./stim/KsponSpeech_125935_4sec.wav"", type = ""audio/wav"">Your browser does not support the audio element.</audio>","","","","","","null","","","","","","","",""
"audio-likert-jedit","7","26863","0.0-6.0-1.0","13916.100000143051","./stim/KsponSpeech_125935_4sec.wav","","{""stressed"":6,""angry"":6,""hostile"":6,""happy"":6,""interested"":6,""formal"":6,""confident"":6}","[0,1,2,3,4,5,6]","","","","","0","0","0","0","0","0","0"
"html-keyboard-response","8","31996","0.0-7.0-0.0","null","<audio autoplay><source src=""./stim/KsponSpeech_125933_4sec.wav"", type = ""audio/wav"">Your browser does not support the audio element.</audio>","","","","","","null","","","","","","","",""
"audio-likert-jedit","9","40270","0.0-7.0-1.0","8261.299999952316","./stim/KsponSpeech_125933_4sec.wav","","{""stressed"":6,""angry"":6,""hostile"":6,""happy"":6,""interested"":6,""formal"":6,""confident"":6}","[0,1,2,3,4,5,6]","","","","","0","0","0","0","0","0","0"
"survey-text","10","44386","0.0-8.0","4089","","","{""Q0"":""fdfd"",""Q1"":""sdfasdf""}","","","","","","","","","","","",""
